Driver.code,Q1_time,Q2_time,Q3_time,air_temp_mid,avg_lap_time,avg_tyre_life,constructor,driver,driverId,finishing_position,grid_position,humidity_mid,lapTime_best_sec,lapTime_mean_sec,lapTime_std_sec,laps_count,laps_total,num_pit_stops,pit_avg_duration_sec,pit_first_lap,pit_last_lap,pit_min_duration_sec,pit_stop_count,pit_total_duration_sec,points,qualiPosition,race_name,rainfall_mid,round,season,track_temp_mid,weather_airTemp_max,weather_airTemp_mean,weather_airTemp_min,weather_hours,weather_humidity_mean,weather_precip_total,weather_pressure_mean,weather_wind_mean,year,session_type,made_Q2,made_Q3,eliminated_in_Q1,eliminated_in_Q2,eliminated_in_Q3,qualifying_round_reached,pitted,multi_stop,one_stop
ALB,1:32.726,1:32.664,,23.2,101.569843,19.0,Williams,ALB,albon,13.0,14.0,37,100.548,102.4554,2.978104901,5.0,5.0,3,25.16633333,13.0,46.0,24.874,3.0,75.499,0,14.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,False,False,True,False,2,True,True,False
ALO,1:32.346,1:31.621,1:32.195,23.2,102.109941,14.25,Alpine,ALO,alonso,9.0,8.0,37,100.097,101.2748,2.184671303,5.0,5.0,3,24.92733333,11.0,42.0,24.508,3.0,74.782,2,8.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,True,False,False,True,3,True,True,False
BOT,1:31.919,1:31.717,1:31.560,23.2,101.061882,19.0,Alfa Romeo,BOT,bottas,6.0,6.0,37,100.732,102.7376,3.634923906,5.0,5.0,3,25.41233333,14.0,45.0,25.156,3.0,76.237,8,6.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,True,False,False,True,3,True,True,False
GAS,1:32.096,1:31.635,1:32.338,23.2,99.64625,15.0,AlphaTauri,GAS,gasly,20.0,10.0,37,99.968,100.9628,1.851656745,5.0,5.0,2,25.225,14.0,32.0,24.575,2.0,50.45,0,10.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,True,False,False,True,3,True,True,False
HAM,1:32.285,1:31.048,1:31.238,23.2,101.586803,14.25,Mercedes,HAM,hamilton,3.0,5.0,37,98.892,99.4894,1.156901595,5.0,5.0,3,25.52533333,11.0,44.0,25.201,3.0,76.576,15,5.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,True,False,False,True,3,True,True,False
HUL,1:32.777,,,23.2,101.978137,19.0,Aston Martin,HUL,hulkenberg,17.0,17.0,37,100.638,103.0184,3.79731172,5.0,5.0,3,26.60833333,19.0,44.0,25.748,3.0,79.825,0,17.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,False,False,True,False,False,1,True,True,False
LAT,1:33.634,,,23.2,101.837823,19.0,Williams,LAT,latifi,16.0,20.0,37,101.668,103.745,4.138549021,5.0,5.0,3,24.631,14.0,45.0,24.457,3.0,73.893,0,20.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,False,False,True,False,False,1,True,True,False
LEC,1:31.471,1:30.932,1:30.558,23.2,99.51304,19.0,Ferrari,LEC,leclerc,1.0,1.0,37,97.853,98.416,0.4383063997,5.0,5.0,3,24.71733333,15.0,46.0,24.527,3.0,74.152,26,1.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,True,False,False,True,3,True,True,False
MAG,1:31.955,1:31.461,1:31.808,23.2,101.309803,19.0,Haas F1 Team,MAG,kevin_magnussen,5.0,7.0,37,98.993,100.6722,1.340762358,5.0,5.0,3,25.80166667,14.0,46.0,25.478,3.0,77.405,10,7.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,True,False,False,True,3,True,True,False
MSC,1:32.380,1:31.998,,23.2,102.613056,19.0,Haas F1 Team,MSC,mick_schumacher,11.0,12.0,37,100.722,102.7014,3.465570992,5.0,5.0,2,25.4,12.0,35.0,25.214,2.0,50.8,0,12.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,False,False,True,False,2,True,True,False
