season,year,round,race_name,driver,driverId,constructor,grid_position,finishing_position,points,num_pit_stops,avg_lap_time,avg_tyre_life,track_temp_mid,air_temp_mid,humidity_mid,rainfall_mid,qualiPosition,Q1_time,Q2_time,Q3_time,laps_total,laps_count,lapTime_mean_sec,lapTime_best_sec,lapTime_std_sec,pit_stop_count,pit_total_duration_sec,pit_avg_duration_sec,pit_min_duration_sec,pit_first_lap,pit_last_lap,weather_hours,weather_airTemp_mean,weather_airTemp_min,weather_airTemp_max,weather_humidity_mean,weather_precip_total,weather_pressure_mean,weather_wind_mean,Driver.code
2025,2025,0,Pre-Season Testing,RUS,,Mercedes,1.0,1.0,25.0,1,96.768183,31.0,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,VER,,Red Bull Racing,2.0,2.0,18.0,1,96.8579,31.0,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,NOR,,McLaren,5.0,3.0,15.0,1,96.896366,31.0,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,PIA,,McLaren,3.0,4.0,12.0,1,96.860666,31.0,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,ANT,,Mercedes,4.0,5.0,10.0,1,97.31985,31.0,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,LEC,,Ferrari,7.0,6.0,8.0,1,97.513366,31.0,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,ALO,,Aston Martin,10.0,7.0,6.0,1,97.919583,31.0,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,HAM,,Ferrari,6.0,8.0,4.0,2,97.794431,20.666666666666668,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,BEA,,Haas F1 Team,9.0,9.0,2.0,1,98.306666,31.0,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,SAI,,Williams,18.0,10.0,1.0,1,98.573983,30.5,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,HAD,,Racing Bulls,8.0,11.0,0.0,1,98.624813,30.5,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,TSU,,Red Bull Racing,13.0,12.0,0.0,1,98.635576,30.5,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,STR,,Aston Martin,15.0,13.0,0.0,1,98.757881,30.5,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,ALB,,Williams,20.0,14.0,0.0,1,98.377758,30.5,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,LAW,,Racing Bulls,12.0,15.0,0.0,1,98.762491,30.5,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,COL,,Alpine,16.0,16.0,0.0,1,99.093016,30.5,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,BOR,,Kick Sauber,14.0,17.0,0.0,1,98.996,30.5,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,OCO,,Haas F1 Team,17.0,18.0,0.0,1,99.15261,30.5,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,GAS,,Alpine,19.0,19.0,0.0,2,98.458625,20.33333333333333,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,0,Pre-Season Testing,HUL,,Kick Sauber,11.0,20.0,0.0,2,98.389684,20.33333333333333,34.0,29.1,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025,1,Australian Grand Prix,NOR,norris,McLaren,1.0,1.0,25.0,5,101.88202,19.0,19.1,15.9,76.0,False,1.0,1:15.912,1:15.415,1:15.096,6.0,6.0,148.139,117.09899999999999,18.779578216775807,5.0,75.55,15.11,12.804,2.0,44.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,NOR
2025,2025,1,Australian Grand Prix,VER,max_verstappen,Red Bull Racing,3.0,2.0,18.0,5,100.844729,19.0,19.1,15.9,76.0,False,3.0,1:16.018,1:15.565,1:15.481,6.0,6.0,148.31616666666667,119.392,18.010629232946492,5.0,77.515,15.503,12.938,2.0,46.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,VER
